logFC	logCPM	LR	PValue	FDR	V1
0.0889200875745793	4.31623741624573	0.220327488358016	0.638790501908749	0.999725330862621	Bra029221
0.10354237958959	2.87120764047822	0.220308711340415	0.638804796446736	0.999725330862621	Bra004110
0.267931854873419	-0.00314667856459799	0.220271700931974	0.638832973848157	0.999725330862621	Bra030687
0.12237727261982	3.42485091149185	0.220265828099436	0.638837445319695	0.999725330862621	Bra040264
-0.182857515197949	2.74917249843249	0.220192659773573	0.638893160497286	0.999725330862621	Bra009977
0.311974411370659	1.03841368501406	0.220182848265281	0.638900632484104	0.999725330862621	Bra016280
-0.0643592978088023	6.02195252038163	0.220106735769175	0.638958603110146	0.999725330862621	Bra029175
-0.122253471937264	1.89044985508401	0.220097687255524	0.638965495669595	0.999725330862621	Bra101639
-0.282336169566555	2.03681340692719	0.22007864521332	0.638980001203059	0.999725330862621	Bra022691
0.202941926436684	3.7843820672026	0.220078176180223	0.638980358505033	0.999725330862621	Bra010274
-0.310818438504691	0.901440623366505	0.219999056867998	0.63904063699161	0.999725330862621	Bra002577
0.0922314659378386	5.42665036378337	0.219962970253491	0.639068134626239	0.999725330862621	Bra013812
0.101488481894286	5.37569453482216	0.219765063287021	0.639218986676435	0.999725330862621	Bra016010
-0.394143293514027	-0.202664057664446	0.219740669241425	0.639237586460166	0.999725330862621	Bra032141
-0.0823522029411743	5.31937718359433	0.219692043762464	0.639274665797484	0.999725330862621	Bra028239
0.0641181951296122	6.67990775622043	0.219684001646332	0.639280798791883	0.999725330862621	Bra015753
-0.162053440647484	3.43631919398132	0.219584540649372	0.63935666001622	0.999725330862621	Bra011634
-0.100945102847722	4.70844411590741	0.219577349130766	0.639362145967584	0.999725330862621	Bra021408
-0.143756328470774	6.10732536629366	0.219567212378394	0.639369878836206	0.999725330862621	Bra022593
-0.113501960989951	4.06846671222469	0.219554546551947	0.639379541326677	0.999725330862621	Bra010854
-0.129719268979508	3.23196677253727	0.219529973248015	0.639398288748749	0.999725330862621	Bra019781
